Year,Population
1949,53223.0
1950,54335.6
1951,55448.2
1952,56560.8
1953,57673.4
1954,58786.0
1955,59898.6
1956,61011.2
1957,62123.8
1958,63236.4
1959,64349.0
1960,65461.6
1961,66574.2
1962,67686.8
1963,68799.4
1964,69912.0
1965,71024.6
1966,72137.2
1967,73249.8
1968,74362.4
1969,75475.0
1970,76587.6
1971,77700.2
1972,78812.8
1973,79925.4
1974,81038.0
1975,82150.6
1976,83263.2
1977,84375.8
1978,85488.4
1979,86601.0
1980,87713.6
1981,88826.2
1982,89938.8
1983,91051.4
1984,92164.0
1985,93276.6
1986,94389.2
1987,95501.8
1988,96614.4
1989,97727.0
1990,98839.6
1991,99952.2
1992,101064.8
1993,102177.4
1994,103290.0
1995,104402.6
1996,105515.2
1997,106627.8
1998,107740.4
1999,108853.0
2000,109965.6
2001,111078.2
2002,112190.8
2003,113303.4
2004,114416.0
2005,115528.6
2006,116641.2
2007,117753.8
2008,118866.4
2009,119979.0
2010,121091.6
2011,122204.2
2012,123316.8
2013,124429.4
